Attribute,Mean,StdDev,Min,Max
NumWebPurchases,4.08528880866426,2.7409510810147255,0,27
NumCatalogPurchases,2.671028880866426,2.9267336360080134,0,28
NumStorePurchases,5.800992779783393,3.250784785670525,0,13
NumWebVisitsMonth,5.319043321299639,2.425358540606443,0,20
AcceptedCmp3,0.07355595667870037,0.26110580876067324,0,1
AcceptedCmp4,0.0740072202166065,0.2618417283260366,0,1
AcceptedCmp5,0.07310469314079422,0.26036702668143424,0,1
AcceptedCmp1,0.06407942238267147,0.2449496396591494,0,1
AcceptedCmp2,0.013537906137184115,0.11558832299800825,0,1
Complain,0.00947653429602888,0.0969070038487211,0,1
Z_CostContact,3.0,0.0,3,3
Z_Revenue,11.0,0.0,11,11
Response,0.15027075812274368,0.35741727012906527,0,1
